,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate,ISO3,Cases_28_Days,Deaths_28_Days
180,Antigua and Barbuda,7491,135,,,7649.49759006617,1.802162595114137,ATG,42,0
181,Liberia,7400,294,,,146.3122299031749,3.972972972972973,LBR,16,0
182,Chad,7310,191,,,44.50299981267342,2.612859097127223,TCD,53,1
183,Tonga,6423,6,,,6076.80445045744,0.09341429238673517,TON,6068,6
184,Sao Tome and Principe,5945,73,,,2712.617664639238,1.2279226240538268,STP,11,1
185,Saint Kitts and Nevis,5549,43,,,10432.019852609417,0.7749143989908092,KNA,19,1
186,Palau,4024,6,,,22345.62416703688,0.14910536779324055,PLW,201,0
187,Vanuatu,3379,2,,,1154.5032116987836,0.05918910920390647,VUT,3110,1
188,Kiribati,3066,13,,,2607.0098464364064,0.4240052185257665,KIR,112,2
189,Samoa,1713,0,,,873.4002957222252,0.0,WSM,1508,0
190,Summer Olympics 2020,865,0,,,,0.0,,0,0
191,Diamond Princess,712,13,,,,1.8258426966292127,,0,0
192,Winter Olympics 2022,535,0,,,,0.0,,11,0
193,Holy See,29,0,,,3584.672435105068,0.0,VAT,0,0
194,Antarctica,11,0,,,,0.0,ATA,0,0
195,MS Zaandam,9,2,,,,22.222222222222214,,0,0
196,Marshall Islands,7,0,,,11.983633780151678,0.0,MHL,0,0
197,Micronesia,1,0,,,0.8786188112287484,0.0,FSM,0,0
